Region,Country,University
SEAOHUN,CAMBOHUN,Prek Leap National College of Agriculture (PNCA)
SEAOHUN,CAMBOHUN,Royal University of Agriculture (RUA)
SEAOHUN,CAMBOHUN,"University of Health Sciences, Cambodia (UHS-Cambodia)"
SEAOHUN,CAMBOHUN,Other
SEAOHUN,INDOHUN,Airlangga University
SEAOHUN,INDOHUN,Andalas University
SEAOHUN,INDOHUN,Bogor Agriculture University
SEAOHUN,INDOHUN,Brawijaya University
SEAOHUN,INDOHUN,Cendrawasih University
SEAOHUN,INDOHUN,Diponegoro University
SEAOHUN,INDOHUN,Gadjah Mada University
SEAOHUN,INDOHUN,Hasanuddin University
SEAOHUN,INDOHUN,Mataram University
SEAOHUN,INDOHUN,Muhammadiyah Hamka University
SEAOHUN,INDOHUN,Mulawarman University
SEAOHUN,INDOHUN,Nusa Cendana University
SEAOHUN,INDOHUN,Padjajaran University
SEAOHUN,INDOHUN,Sam Ratulangi University
SEAOHUN,INDOHUN,Sriwijaya University
SEAOHUN,INDOHUN,Syiah Kuala University
SEAOHUN,INDOHUN,Udayana University
SEAOHUN,INDOHUN,University of Indonesia
SEAOHUN,INDOHUN,University of North Sumatra
SEAOHUN,INDOHUN,University of West Nusa Tenggara
SEAOHUN,INDOHUN,Other
SEAOHUN,LAOHUN,Champasack University
SEAOHUN,LAOHUN,National University of Laos (NUOL)
SEAOHUN,LAOHUN,Savannakhet University
SEAOHUN,LAOHUN,Souphanouvong University
SEAOHUN,LAOHUN,University of Health Sciences (UHS-Laos)
SEAOHUN,LAOHUN,Other
SEAOHUN,MMOHUN,"University of Medicine 1, Yangon"
SEAOHUN,MMOHUN,"University of Public Health, Yangon"
SEAOHUN,MMOHUN,"University of Veterinary Science, Yezin"
SEAOHUN,MMOHUN,Other
SEAOHUN,MyOHUN,University of Cyberjaya (UoC)
SEAOHUN,MyOHUN,International Islamic University Malaysia (IIUM)
SEAOHUN,MyOHUN,International Medical University
SEAOHUN,MyOHUN,Management and Science University
SEAOHUN,MyOHUN,Royal College of Surgeons in Ireland (RCSI) & University College Dublin (UCD) Malaysia Campus
SEAOHUN,MyOHUN,Universiti Kebangsaan Malaysia (UKM)
SEAOHUN,MyOHUN,Universiti Malaya (UM)
